"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","timefrozen_tot","timefrozen_ave","centretime","Notes","UniqueID","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1"
"97",2153,"G06",13.2,1,"m","30-06-2020","14:40","ACT",1,6,"D","E","29",61.23959732,77.69376373,201.8768311,0.771707356,77516.76563,18.3,4.6,63.6,"","ACT1_6D",2.90690105984738,2.1634568933782,4.16821441078856
"100",2156,"G29",16.7,1,"m","07-07-2020","11:51","ACT",2,3,"D","E","61",36.35943604,56.86929703,136.3191376,0.615389109,47750.35547,193.5,6.9,28,"","ACT2_3D",5.26527751246984,1.85037645763067,3.36729582998647
"101",2156,"G29",16.7,1,"m","30-06-2020","14:40","ACT",1,6,"B","E","60",35.35190201,64.68862152,115.8107376,0.515849769,45533.46094,120.8,6,54.8,"","ACT1_6B",4.79413628550071,1.6750613123581,4.02177386938726
"102",2156,"G29",16.7,1,"m","14-07-2020","10:40","ACT",3,2,"D","E","64",29.46918106,54.66563034,112.2802505,0.502655506,39146.83984,226.1,9,17,"moderate fin infection","ACT3_2D",5.42097737928392,1.65310527822972,2.89037175789616
"104",2182,"G02",14.2,1,"m","30-06-2020","14:40","ACT",1,6,"A","E","37",38.30709839,55.19351578,134.6135864,0.667976618,48767.42578,18.7,4.7,82.3,"","ACT1_6A",2.92852352386054,1.95028714971769,4.4224485491728
"105",2182,"G02",14.2,1,"m","07-07-2020","11:51","ACT",2,3,"G","E","39",28.46555901,48.07709122,106.6117859,0.539471328,38314.12891,208.2,6.7,44.7,"","ACT2_3G",5.33849915618087,1.71509989716964,3.82209829790016
"106",2182,"G02",14.2,1,"m","14-07-2020","11:36","ACT",3,3,"F","E","38",22.48516083,44.55726624,95.28782654,0.455386907,30658.35547,343.8,7.6,65.9,"","ACT3_3F",5.84006009294875,1.57678333353855,4.20319896713418
"108",2213,"G20",13.8,2,"m","07-07-2020","13:45","ACT",2,5,"C","D","30",2.634490252,53.66956711,12.34773922,0.027308591,3749.85376,1160.1,96.7,5.8,"","ACT2_5C",7.05626148728136,1.02768488814344,1.91692261218206
"109",2213,"G20",13.8,2,"m","30-06-2020","11:28","ACT",1,3,"A","D","31",14.14190674,50.82613373,56.36860275,0.244360492,18499.81055,744.2,23.3,12.8,"","ACT1_3A",6.61230981591252,1.27680452535314,2.62466859216316
"110",2216,"G18",13.3,1,"m","07-07-2020","14:50","ACT",2,6,"C","D","26",36.47373199,59.73711777,147.6784363,0.576496661,46678.23047,190.1,5.4,44.2,"","ACT2_6C",5.24755024949438,1.77979228023992,3.81109708683819
