Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,PITID,Weight,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,timefrozen_tot,timefrozen_ave,centretime,Notes
07-07-2020,12:50,ACT,2,4,G,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
07-07-2020,12:50,ACT,2,4,H,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
07-07-2020,13:45,ACT,2,5,A,D,2038,66,1.341196299,11.03258801,7.4690938,2.77809E-05,2433.510742,1200,1200,0,wound on underside EXCLUDED
07-07-2020,13:45,ACT,2,5,B,D,2155,18,1.746708989,11.45669651,12.38584328,0.009917769,2975.722656,1199.8,200,0,"lethargic, with wound EXCLUDED"
07-07-2020,13:45,ACT,2,5,C,D,2213,30,2.634490252,53.66956711,12.34773922,0.027308591,3749.85376,1160.1,96.7,5.8,
07-07-2020,13:45,ACT,2,5,D,D,2030,32,22.90641975,49.32164764,89.71540833,0.415410995,29633.74023,368.3,6.2,139.7,
07-07-2020,13:45,ACT,2,5,E,D,2126,52,27.21306419,45.6930542,104.623848,0.560310185,34807.34766,243.1,7.6,25.8,
07-07-2020,13:45,ACT,2,5,F,D,2110,44,27.6168251,62.41623688,103.3243179,0.417351931,34374.39063,514.2,13.2,169.9,
07-07-2020,13:45,ACT,2,5,G,D,2021,47,13.25773811,39.05145645,54.96721268,0.274531156,17616.68945,674,8.6,45.4,
07-07-2020,13:45,ACT,2,5,H,D,2034,26,34.27407074,47.03160477,153.2724457,0.704798996,45060.10156,128,5.8,37.6,
07-07-2020,14:50,ACT,2,6,A,D,2089,39,42.17656326,56.17679596,164.0066376,0.729414403,52801.19531,17.7,4.4,23.1,
07-07-2020,14:50,ACT,2,6,B,D,2147,31,19.80940628,53.48014832,80.4477005,0.324287385,25639.79883,568.1,12.4,41.8,
07-07-2020,14:50,ACT,2,6,C,D,2216,26,36.47373199,59.73711777,147.6784363,0.576496661,46678.23047,190.1,5.4,44.2,
07-07-2020,14:50,ACT,2,6,D,D,2122,29,32.20535278,48.32897568,147.3959351,0.630643666,42278.37109,99.8,5.5,35.2,
07-07-2020,14:50,ACT,2,6,E,D,2228,48,29.34024429,54.95696259,122.3347092,0.503341913,38267.62891,206.7,12.7,36,
07-07-2020,14:50,ACT,2,6,F,D,2116,29,36.91891098,64.75605774,146.7367096,0.537579119,46163.59766,221.7,6,38.1,
07-07-2020,14:50,ACT,2,6,G,D,2028,45,28.66424561,60.24682999,114.620079,0.445646405,36002.04688,449.5,11.8,27.1,
07-07-2020,14:50,ACT,2,6,H,D,2119,55,22.96009636,46.93788147,100.6687317,0.445586294,30272.33594,395.1,10.4,7.9,
14-07-2020,09:42,ACT,3,1,A,D,2122,28,27.40758324,48.52625656,118.018959,0.529388726,36171.94141,282.5,6.6,2.9,
14-07-2020,09:42,ACT,3,1,B,D,2228,51,24.03099823,54.25101852,90.10153961,0.385199636,32713.41992,484.1,11,253.9,
14-07-2020,09:42,ACT,3,1,C,D,2216,27,33.80050659,64.06497192,117.9078598,0.487418771,42766.59375,299,6.6,42,
14-07-2020,09:42,ACT,3,1,D,D,2110,45,35.23678207,55.53258896,128.8289795,0.60304445,44635.66797,156.7,8.7,224.5,
14-07-2020,09:42,ACT,3,1,E,D,2126,53,34.38957596,49.86284256,124.5514679,0.657494843,43960.74609,109.2,5.2,35.3,
14-07-2020,09:42,ACT,3,1,F,D,2147,32,12.74363518,48.3531723,47.39408875,0.221679688,16848.72656,763,15.6,27.9,moderate fin infection
14-07-2020,09:42,ACT,3,1,G,D,2116,27,22.4446888,52.49478531,84.50549316,0.370197207,30368.54883,415.7,7.3,45,possible cataract
14-07-2020,09:42,ACT,3,1,H,D,2030,32,4.256118298,20.82761955,25.62083626,0.07423047,7066.549805,899.9,12,232.1,moderate fin infection
14-07-2020,10:40,ACT,3,2,A,D,2028,46,25.08958817,58.87060547,89.81656647,0.391587198,32822.03516,392.4,10.6,55.2,moderate fin infection
14-07-2020,10:40,ACT,3,2,B,D,2021,48,21.38794136,45.79494476,86.37666321,0.40733391,29839.3457,518.5,27.3,10.1,
14-07-2020,10:40,ACT,3,2,C,D,2119,53,2.572062492,15.39129925,16.39823723,0.034614958,4663.263184,1127.6,35.2,0.0,moderate fin infection
14-07-2020,10:40,ACT,3,2,D,E,2156,64,29.46918106,54.66563034,112.2802505,0.502655506,39146.83984,226.1,9,17,moderate fin infection
14-07-2020,10:40,ACT,3,2,E,E,2099,32,20.3107338,58.79472351,74.04272461,0.313840419,26023.45117,635.9,21.2,24.5,
14-07-2020,10:40,ACT,3,2,F,E,2217,32,45.39306641,64.00636292,148.194931,0.67295897,56828.22656,117.8,5.4,56.5,
14-07-2020,10:40,ACT,3,2,G,E,2026,18,29.98181343,48.86276627,115.8547668,0.576227188,38918.71875,114.8,5.5,45,possible small wound
14-07-2020,10:40,ACT,3,2,H,E,2060,52,34.72232819,52.92420578,134.7354431,0.622300029,45930.3125,99.5,10,13.6,
14-07-2020,11:36,ACT,3,3,A,E,2233,36,9.287032127,45.91150284,37.36274719,0.159795538,12601.42676,903.3,29.1,66.4,
14-07-2020,11:36,ACT,3,3,B,E,1286,35,5.159774303,38.52329636,20.14392662,0.085485309,7879.890625,998.8,90.8,8.3,moderate fin infection
14-07-2020,11:36,ACT,3,3,C,E,2153,30,41.73993301,63.42619705,146.7123718,0.629170477,53501.11328,204.9,5.3,80.6,
14-07-2020,11:36,ACT,3,3,D,E,2045,59,26.96879768,53.76424408,117.776535,0.461205423,36461.58984,484.4,32.3,37,moderate fin infection
14-07-2020,11:36,ACT,3,3,E,E,2220,34,27.27675247,51.57026291,101.5214996,0.494577318,34994.01953,312.9,7.6,22,
14-07-2020,11:36,ACT,3,3,F,E,2182,38,22.48516083,44.55726624,95.28782654,0.455386907,30658.35547,343.8,7.6,65.9,
14-07-2020,11:36,ACT,3,3,G,E,2019,40,24.66138649,41.81721878,93.15203857,0.535513937,33201.15234,216.2,9.4,19.9,heavy skin infections
14-07-2020,11:36,ACT,3,3,H,C,1395,41,33.90024948,55.52952576,132.1288605,0.579339921,45063.51953,235.8,19.6,60,
14-07-2020,12:34,ACT,3,4,A,C,2009,13,15.7500515,47.88713455,63.73259354,0.286655724,20585.12891,544.9,6.7,98.3,
14-07-2020,12:34,ACT,3,4,B,C,2024,52,32.64383316,54.41271591,123.7369919,0.569479406,47795.28516,193.8,10.2,53,
14-07-2020,12:34,ACT,3,4,C,C,2065,24,25.62870789,47.88957977,94.86397552,0.485676944,33017.13672,158.7,4.8,140.2,
14-07-2020,12:34,ACT,3,4,D,C,1313,25,36.64358521,49.44364548,144.661026,0.716451168,47294.11328,43.2,5.4,34.9,
14-07-2020,12:34,ACT,3,4,E,C,1260,10,29.55580711,56.36487961,103.4840546,0.492612481,36996.96094,329,6.3,183.6,
14-07-2020,12:34,ACT,3,4,F,C,2044,35,1.619325161,19.0460186,8.718090057,0.00352817,2927.288818,1195.40,597.7,0,moderate fin infection
14-07-2020,12:34,ACT,3,4,G,C,2101,28,2.308203459,11.62896729,12.74443436,0.004028225,4267.463379,1196.7,99.7,0,
14-07-2020,12:34,ACT,3,4,H,C,2040,36,43.86082077,58.68994141,154.0198975,0.718587756,54948.60938,82.9,6.9,32.3,moderate fin infection
14-07-2020,13:26,ACT,3,5,A,C,1384,26,40.64649963,64.23074341,142.9668732,0.611168265,50634.67578,104.1,7.4,110.4,
14-07-2020,13:26,ACT,3,5,B,C,2112,33,21.20429993,54.10448837,73.09890747,0.354606181,27153.66992,463.8,7.5,56.7,
14-07-2020,13:26,ACT,3,5,C,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
14-07-2020,13:26,ACT,3,5,D,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
14-07-2020,13:26,ACT,3,5,E,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
14-07-2020,13:26,ACT,3,5,F,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
14-07-2020,13:26,ACT,3,5,G,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
14-07-2020,13:26,ACT,3,5,H,NOFISH,NOFISH,NOFISH,NA,NA,NA,NA,NA,NA,NA,NA,
