"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln"
"58",2084,"G48",9.8,3,"f","02-07-2020","13:15","13:25","EXPL",1,5,"B","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_5B",0,0,0,0,NA,NA
"59",2089,"G31",13.7,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"C","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_7C",0,0,0,0,NA,NA
"60",2089,"G31",13.7,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"D","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_1D",0,0,0,0,NA,NA
"61",2099,"G12",13.4,2,"m","09-07-2020","08:34","08:44","EXPL",2,1,"A","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_1A",0,0,0,0,NA,NA
"63",2099,"G12",13.4,2,"m","16-07-2020","11:15","11:25","EXPL",3,2,"B","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_2B",0,0,0,0,NA,NA
"64",2101,"G40",12.8,1,"m","09-07-2020","11:48","11:58","EXPL",2,4,"E","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_4E",0,0,0,0,NA,NA
"65",2101,"G40",12.8,1,"m","16-07-2020","14:29","14:39","EXPL",3,5,"D","C",NA,2700,NA,2700,NA,NA,NA,"lethargic with wound","EXPL3_5D",0,0,0,0,NA,NA
"73",2116,"G27",13.4,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"E","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_4E",0,0,0,0,NA,NA
"84",2133,"G41",14.2,1,"m","02-07-2020","12:13","12:23","EXPL",1,4,"E","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_4E",0,0,0,0,NA,NA
"85",2133,"G41",14.2,1,"m","09-07-2020","11:48","11:58","EXPL",2,4,"A","C",NA,2700,NA,2700,NA,NA,NA,"new looking wound on side","EXPL2_4A",0,0,0,0,NA,NA
"101",2213,"G20",13.8,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"B","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_4B",0,0,0,0,NA,NA
"116",2233,"G11",13.5,2,"m","09-07-2020","09:38","09:48","EXPL",2,2,"D","E",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_2D",0,0,0,0,NA,NA
