"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G28.P03",0.464,0.205,0.012,0.039,0.349,0.498,0.607,0.752,0.802,"46.4% [1.2%, 80.2%]"
"p.G29.P03",0.098,0.093,0.001,0.002,0.02,0.07,0.149,0.289,0.328,"9.8% [0.1%, 32.8%]"
"p.G30.P03",0.034,0.064,0,0,0.002,0.011,0.038,0.136,0.184,"3.4% [0%, 18.4%]"
"p.G31.P03",0.055,0.06,0,0.001,0.009,0.034,0.082,0.183,0.211,"5.5% [0%, 21.1%]"
"p.G32.P03",0.5,0.168,0.041,0.126,0.428,0.525,0.609,0.728,0.767,"50% [4.1%, 76.7%]"
"p.G33.P03",0.059,0.064,0.001,0.001,0.01,0.035,0.091,0.188,0.222,"5.9% [0.1%, 22.2%]"
"p.G34.P03",0.041,0.058,0,0.001,0.006,0.019,0.051,0.159,0.209,"4.1% [0%, 20.9%]"
"p.G35.P03",0.097,0.085,0.001,0.002,0.022,0.076,0.155,0.258,0.284,"9.7% [0.1%, 28.4%]"
"p.G36.P03",0.241,0.135,0.005,0.013,0.14,0.251,0.34,0.45,0.484,"24.1% [0.5%, 48.4%]"
"p.G37.P03",0.028,0.036,0,0,0.003,0.014,0.039,0.106,0.13,"2.8% [0%, 13%]"
"p.G38.P03",0.108,0.094,0.001,0.002,0.022,0.094,0.174,0.272,0.309,"10.8% [0.1%, 30.9%]"
"p.G39.P03",0.033,0.042,0,0,0.004,0.016,0.048,0.124,0.155,"3.3% [0%, 15.5%]"
"p.G40.P03",0.059,0.076,0,0,0.006,0.029,0.089,0.202,0.254,"5.9% [0%, 25.4%]"
"p.G41.P03",0.039,0.048,0,0.001,0.006,0.022,0.055,0.135,0.168,"3.9% [0%, 16.8%]"
"p.G42.P03",0.048,0.053,0,0.001,0.009,0.028,0.07,0.16,0.187,"4.8% [0%, 18.7%]"
"p.G43.P03",0.176,0.117,0.002,0.006,0.074,0.177,0.261,0.371,0.401,"17.6% [0.2%, 40.1%]"
"p.G44.P03",0.414,0.193,0.01,0.031,0.296,0.446,0.549,0.69,0.739,"41.4% [1%, 73.9%]"
"p.G45.P03",0.075,0.077,0.001,0.001,0.014,0.046,0.115,0.233,0.272,"7.5% [0.1%, 27.2%]"
"p.G46.P03",0.389,0.205,0.007,0.022,0.24,0.419,0.539,0.68,0.744,"38.9% [0.7%, 74.4%]"
"p.G47.P03",0.069,0.069,0.001,0.002,0.014,0.045,0.105,0.212,0.245,"6.9% [0.1%, 24.5%]"
"p.G48.P03",0.013,0.019,0,0,0.002,0.006,0.017,0.052,0.067,"1.3% [0%, 6.7%]"
"p.G49.P03",0.078,0.079,0.001,0.001,0.014,0.052,0.12,0.237,0.273,"7.8% [0.1%, 27.3%]"
"p.G50.P03",0.036,0.042,0,0.001,0.007,0.021,0.052,0.119,0.145,"3.6% [0%, 14.5%]"
"p.G51.P03",0.287,0.139,0.006,0.018,0.201,0.306,0.383,0.483,0.524,"28.7% [0.6%, 52.4%]"
"p.G52.P03",0.271,0.133,0.005,0.017,0.188,0.288,0.36,0.468,0.504,"27.1% [0.5%, 50.4%]"
"p.G53.P03",0.576,0.204,0.044,0.153,0.478,0.602,0.714,0.868,0.907,"57.6% [4.4%, 90.7%]"
"p.G54.P03",0.024,0.031,0,0,0.003,0.011,0.031,0.088,0.114,"2.4% [0%, 11.4%]"
"p.G55.P03",0.225,0.127,0.002,0.007,0.132,0.242,0.317,0.412,0.449,"22.5% [0.2%, 44.9%]"
"p.G01.P04",0.018,0.025,0,0,0.003,0.009,0.024,0.067,0.088,"1.8% [0%, 8.8%]"
"p.G02.P04",0.067,0.076,0.001,0.001,0.01,0.036,0.1,0.226,0.266,"6.7% [0.1%, 26.6%]"
"p.G03.P04",0.11,0.122,0.001,0.001,0.013,0.059,0.181,0.357,0.413,"11% [0.1%, 41.3%]"
"p.G04.P04",0.065,0.076,0,0.001,0.009,0.036,0.095,0.221,0.268,"6.5% [0%, 26.8%]"
"p.G05.P04",0.761,0.129,0.512,0.542,0.67,0.765,0.859,0.96,0.979,"76.1% [51.2%, 97.9%]"
"p.G06.P04",0.018,0.025,0,0,0.003,0.009,0.023,0.063,0.081,"1.8% [0%, 8.1%]"
"p.G07.P04",0.022,0.031,0,0,0.002,0.01,0.03,0.086,0.117,"2.2% [0%, 11.7%]"
"p.G08.P04",0.125,0.139,0,0,0.011,0.082,0.201,0.369,0.467,"12.5% [0%, 46.7%]"
"p.G09.P04",0.108,0.109,0.001,0.002,0.018,0.072,0.169,0.328,0.378,"10.8% [0.1%, 37.8%]"
"p.G10.P04",0.057,0.095,0,0.001,0.006,0.021,0.06,0.27,0.389,"5.7% [0%, 38.9%]"
"p.G11.P04",0.124,0.128,0.001,0.002,0.02,0.074,0.202,0.385,0.433,"12.4% [0.1%, 43.3%]"
"p.G12.P04",0.154,0.173,0,0.001,0.015,0.074,0.251,0.52,0.568,"15.4% [0%, 56.8%]"
"p.G13.P04",0.068,0.074,0,0.001,0.008,0.04,0.107,0.224,0.254,"6.8% [0%, 25.4%]"
"p.G14.P04",0.124,0.133,0.001,0.002,0.019,0.074,0.188,0.398,0.48,"12.4% [0.1%, 48%]"
"p.G15.P04",0.258,0.214,0.001,0.002,0.039,0.241,0.446,0.617,0.657,"25.8% [0.1%, 65.7%]"
"p.G16.P04",0.03,0.053,0,0,0.001,0.008,0.032,0.141,0.181,"3% [0%, 18.1%]"
