"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G40.P01",0.074,0.062,0.003,0.006,0.025,0.056,0.106,0.198,0.229,"7.4% [0.3%, 22.9%]"
"p.G41.P01",0.168,0.115,0.009,0.015,0.069,0.152,0.253,0.372,0.407,"16.8% [0.9%, 40.7%]"
"p.G42.P01",0.554,0.175,0.07,0.178,0.473,0.579,0.668,0.796,0.834,"55.4% [7%, 83.4%]"
"p.G43.P01",0.158,0.093,0.01,0.019,0.084,0.152,0.224,0.318,0.345,"15.8% [1%, 34.5%]"
"p.G44.P01",0.119,0.078,0.009,0.013,0.056,0.109,0.171,0.262,0.291,"11.9% [0.9%, 29.1%]"
"p.G45.P01",0.452,0.187,0.035,0.077,0.346,0.476,0.582,0.723,0.773,"45.2% [3.5%, 77.3%]"
"p.G46.P01",0.115,0.072,0.008,0.015,0.058,0.106,0.163,0.244,0.268,"11.5% [0.8%, 26.8%]"
"p.G47.P01",0.339,0.133,0.039,0.075,0.259,0.355,0.433,0.53,0.564,"33.9% [3.9%, 56.4%]"
"p.G48.P01",0.071,0.063,0.003,0.006,0.024,0.054,0.101,0.197,0.24,"7.1% [0.3%, 24%]"
"p.G49.P01",0.228,0.122,0.018,0.031,0.13,0.232,0.32,0.421,0.448,"22.8% [1.8%, 44.8%]"
"p.G50.P01",0.218,0.127,0.013,0.026,0.113,0.214,0.314,0.427,0.462,"21.8% [1.3%, 46.2%]"
"p.G51.P01",0.115,0.077,0.007,0.012,0.054,0.103,0.165,0.257,0.29,"11.5% [0.7%, 29%]"
"p.G52.P01",0.103,0.072,0.006,0.01,0.045,0.091,0.149,0.238,0.265,"10.3% [0.6%, 26.5%]"
"p.G53.P01",0.069,0.05,0.005,0.008,0.03,0.059,0.098,0.163,0.193,"6.9% [0.5%, 19.3%]"
"p.G54.P01",0.544,0.139,0.075,0.252,0.498,0.569,0.629,0.706,0.732,"54.4% [7.5%, 73.2%]"
"p.G55.P01",0.104,0.073,0.006,0.01,0.044,0.094,0.153,0.237,0.264,"10.4% [0.6%, 26.4%]"
"p.G01.P02",0.063,0.068,0.001,0.003,0.013,0.038,0.091,0.207,0.243,"6.3% [0.1%, 24.3%]"
"p.G02.P02",0.164,0.148,0.004,0.007,0.043,0.12,0.245,0.462,0.536,"16.4% [0.4%, 53.6%]"
"p.G03.P02",0.169,0.177,0.003,0.006,0.032,0.096,0.264,0.552,0.609,"16.9% [0.3%, 60.9%]"
"p.G04.P02",0.11,0.135,0.002,0.004,0.021,0.059,0.142,0.409,0.519,"11% [0.2%, 51.9%]"
"p.G05.P02",0.307,0.192,0.008,0.016,0.139,0.312,0.45,0.617,0.687,"30.7% [0.8%, 68.7%]"
"p.G06.P02",0.046,0.051,0.001,0.002,0.011,0.028,0.064,0.149,0.191,"4.6% [0.1%, 19.1%]"
"p.G07.P02",0.231,0.153,0.005,0.013,0.107,0.221,0.329,0.488,0.563,"23.1% [0.5%, 56.3%]"
"p.G08.P02",0.036,0.035,0.001,0.002,0.011,0.026,0.05,0.11,0.133,"3.6% [0.1%, 13.3%]"
"p.G09.P02",0.132,0.114,0.005,0.008,0.041,0.102,0.195,0.372,0.423,"13.2% [0.5%, 42.3%]"
"p.G10.P02",0.076,0.075,0.003,0.005,0.022,0.051,0.105,0.237,0.284,"7.6% [0.3%, 28.4%]"
"p.G11.P02",0.157,0.133,0.006,0.009,0.047,0.116,0.243,0.422,0.467,"15.7% [0.6%, 46.7%]"
"p.G12.P02",0.175,0.147,0.005,0.009,0.045,0.134,0.289,0.453,0.489,"17.5% [0.5%, 48.9%]"
"p.G13.P02",0.275,0.185,0.007,0.014,0.123,0.261,0.403,0.608,0.687,"27.5% [0.7%, 68.7%]"
"p.G14.P02",0.171,0.137,0.006,0.01,0.054,0.137,0.265,0.434,0.471,"17.1% [0.6%, 47.1%]"
"p.G15.P02",0.193,0.168,0.004,0.008,0.042,0.139,0.331,0.501,0.534,"19.3% [0.4%, 53.4%]"
