"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G04.P05",0.067,0.062,0.002,0.004,0.019,0.05,0.096,0.2,0.234,"6.7% [0.2%, 23.4%]"
"p.G05.P05",0.043,0.038,0.002,0.003,0.014,0.032,0.06,0.12,0.144,"4.3% [0.2%, 14.4%]"
"p.G06.P05",0.058,0.045,0.002,0.003,0.02,0.051,0.087,0.142,0.159,"5.8% [0.2%, 15.9%]"
"p.G07.P05",0.029,0.028,0.001,0.002,0.009,0.02,0.04,0.086,0.102,"2.9% [0.1%, 10.2%]"
"p.G08.P05",0.048,0.052,0.001,0.002,0.009,0.027,0.071,0.162,0.188,"4.8% [0.1%, 18.8%]"
"p.G09.P05",0.32,0.079,0.175,0.195,0.264,0.321,0.377,0.447,0.468,"32% [17.5%, 46.8%]"
"p.G10.P05",0.329,0.085,0.171,0.197,0.269,0.328,0.388,0.467,0.492,"32.9% [17.1%, 49.2%]"
"p.G11.P05",0.29,0.085,0.13,0.151,0.23,0.288,0.353,0.428,0.45,"29% [13%, 45%]"
"p.G12.P05",0.242,0.094,0.05,0.083,0.18,0.24,0.301,0.403,0.43,"24.2% [5%, 43%]"
"p.G13.P05",0.056,0.047,0.002,0.004,0.019,0.044,0.082,0.148,0.175,"5.6% [0.2%, 17.5%]"
"p.G14.P05",0.22,0.086,0.044,0.07,0.164,0.22,0.28,0.354,0.38,"22% [4.4%, 38%]"
"p.G15.P05",0.153,0.097,0.005,0.011,0.077,0.145,0.218,0.328,0.363,"15.3% [0.5%, 36.3%]"
"p.G16.P05",0.027,0.025,0.001,0.002,0.009,0.02,0.039,0.078,0.093,"2.7% [0.1%, 9.3%]"
"p.G17.P05",0.056,0.046,0.002,0.004,0.019,0.045,0.082,0.148,0.165,"5.6% [0.2%, 16.5%]"
"p.G18.P05",0.107,0.084,0.001,0.003,0.031,0.095,0.171,0.259,0.282,"10.7% [0.1%, 28.2%]"
"p.G19.P05",0.187,0.108,0.009,0.025,0.101,0.17,0.278,0.367,0.386,"18.7% [0.9%, 38.6%]"
"p.G20.P05",0.032,0.028,0.002,0.003,0.011,0.024,0.043,0.09,0.106,"3.2% [0.2%, 10.6%]"
"p.G21.P05",0.03,0.032,0.001,0.002,0.009,0.02,0.041,0.093,0.118,"3% [0.1%, 11.8%]"
"p.G22.P05",0.037,0.04,0.002,0.003,0.011,0.024,0.047,0.115,0.148,"3.7% [0.2%, 14.8%]"
"p.G23.P05",0.045,0.042,0.002,0.003,0.013,0.032,0.064,0.13,0.152,"4.5% [0.2%, 15.2%]"
"p.G24.P05",0.3,0.078,0.154,0.174,0.244,0.3,0.357,0.426,0.448,"30% [15.4%, 44.8%]"
"p.G25.P05",0.113,0.059,0.007,0.016,0.07,0.113,0.153,0.214,0.234,"11.3% [0.7%, 23.4%]"
"p.G26.P05",0.399,0.067,0.281,0.298,0.353,0.393,0.442,0.518,0.543,"39.9% [28.1%, 54.3%]"
"p.G27.P05",0.287,0.08,0.129,0.154,0.232,0.287,0.341,0.419,0.442,"28.7% [12.9%, 44.2%]"
"p.G28.P05",0.34,0.067,0.21,0.231,0.295,0.341,0.384,0.447,0.467,"34% [21%, 46.7%]"
"p.G29.P05",0.127,0.083,0.003,0.007,0.058,0.122,0.187,0.271,0.301,"12.7% [0.3%, 30.1%]"
"p.G30.P05",0.016,0.015,0,0.001,0.005,0.011,0.022,0.046,0.056,"1.6% [0%, 5.6%]"
"p.G31.P05",0.112,0.079,0.004,0.007,0.045,0.103,0.167,0.252,0.273,"11.2% [0.4%, 27.3%]"
"p.G32.P05",0.226,0.058,0.111,0.13,0.188,0.227,0.264,0.32,0.34,"22.6% [11.1%, 34%]"
"p.G33.P05",0.07,0.054,0.003,0.006,0.025,0.058,0.104,0.173,0.193,"7% [0.3%, 19.3%]"
"p.G35.P05",0.154,0.087,0.005,0.014,0.087,0.153,0.216,0.298,0.327,"15.4% [0.5%, 32.7%]"
"p.G36.P05",0.247,0.081,0.081,0.112,0.192,0.25,0.303,0.379,0.407,"24.7% [8.1%, 40.7%]"
"p.G37.P05",0.131,0.092,0.002,0.004,0.048,0.126,0.201,0.289,0.313,"13.1% [0.2%, 31.3%]"
"p.G38.P05",0.048,0.04,0.002,0.003,0.016,0.037,0.069,0.126,0.143,"4.8% [0.2%, 14.3%]"
"p.G39.P05",0.115,0.089,0.002,0.003,0.033,0.103,0.18,0.274,0.296,"11.5% [0.2%, 29.6%]"
"p.G40.P05",0.031,0.027,0.001,0.002,0.01,0.023,0.044,0.086,0.1,"3.1% [0.1%, 10%]"
"p.G41.P05",0.071,0.055,0.003,0.005,0.025,0.058,0.108,0.176,0.196,"7.1% [0.3%, 19.6%]"
"p.G42.P05",0.081,0.066,0.002,0.004,0.026,0.065,0.125,0.206,0.227,"8.1% [0.2%, 22.7%]"
"p.G43.P05",0.08,0.058,0.003,0.005,0.03,0.071,0.119,0.185,0.213,"8% [0.3%, 21.3%]"
"p.G44.P05",0.246,0.074,0.101,0.123,0.196,0.245,0.296,0.37,0.392,"24.6% [10.1%, 39.2%]"
"p.G45.P05",0.059,0.052,0.002,0.004,0.018,0.044,0.084,0.168,0.19,"5.9% [0.2%, 19%]"
"p.G46.P05",0.384,0.068,0.254,0.271,0.338,0.385,0.431,0.496,0.52,"38.4% [25.4%, 52%]"
"p.G47.P05",0.309,0.084,0.155,0.178,0.252,0.309,0.367,0.447,0.473,"30.9% [15.5%, 47.3%]"
"p.G48.P05",0.031,0.028,0.001,0.002,0.011,0.023,0.044,0.086,0.105,"3.1% [0.1%, 10.5%]"
"p.G49.P05",0.078,0.058,0.003,0.005,0.029,0.066,0.116,0.189,0.21,"7.8% [0.3%, 21%]"
"p.G50.P05",0.062,0.048,0.003,0.005,0.024,0.052,0.093,0.154,0.171,"6.2% [0.3%, 17.1%]"
"p.G51.P05",0.102,0.061,0.005,0.011,0.053,0.099,0.144,0.206,0.226,"10.2% [0.5%, 22.6%]"
"p.G52.P05",0.081,0.052,0.003,0.007,0.038,0.076,0.117,0.174,0.191,"8.1% [0.3%, 19.1%]"
"p.G53.P05",0.351,0.059,0.239,0.257,0.309,0.349,0.388,0.452,0.473,"35.1% [23.9%, 47.3%]"
"p.G54.P05",0.175,0.1,0.004,0.01,0.099,0.179,0.25,0.336,0.364,"17.5% [0.4%, 36.4%]"
"p.G55.P05",0.065,0.048,0.003,0.005,0.026,0.057,0.097,0.155,0.173,"6.5% [0.3%, 17.3%]"
