Vandområde;MarinReferenceKode;Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;MC-stationsnr;Dato;Tid;MiljøcenterNavn;Dataleverandør;Antal delprøver (stk);Prøvenummer;Dybde (m);Prøvetagningsudstyr;Prøveredskabsareal (cm2);Maskevidde (um);Haps breddegrad;Haps længdegrad;Haps X_UTM;Haps Y_UTM;Artsrække;Artsnavn;Stadie;Antal (stk);Biomasse vådvægt (g);Biomasse tørvægt (g);Askevægt (g);Kontrol;Kvalitet;ObsSted_bredde;ObsSted_længde;ObsSted_X_UTM;ObsSted_Y_UTM
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"35";"2.00";"Haps";"143";"1000";"5442,344";"1150,110";"682662";"6065736";"Arthropoda";"Idotea balthica";"Ej oplyst";"4";"0,0419";"0,0076";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"35";"2.00";"Haps";"143";"1000";"5442,344";"1150,110";"682662";"6065736";"Arthropoda";"Chironomidae indet.";"Ej oplyst";"4";"0,022";"0,0011";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"35";"2.00";"Haps";"143";"1000";"5442,344";"1150,110";"682662";"6065736";"Mollusca";"Hydrobia sp.";"Ej oplyst";"2";"0,0078";"0,0039";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"35";"2.00";"Haps";"143";"1000";"5442,344";"1150,110";"682662";"6065736";"Mollusca";"Mytilus edulis";"Ej oplyst";"1";"0,0022";"0,0008";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"36";"1.40";"Haps";"143";"1000";"5442,240";"1149,730";"682261";"6065527";"Annelida";"Hediste diversicolor";"Ej oplyst";"3";"0,1899";"0,0323";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"30";"1.40";"Haps";"143";"1000";"5441,588";"1152,239";"685004";"6064428";"Annelida";"Fabricia stellaris";"Ej oplyst";"1";"0,0008";"0,0001";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"30";"1.40";"Haps";"143";"1000";"5441,588";"1152,239";"685004";"6064428";"Annelida";"Pygospio elegans";"Ej oplyst";"2";"0,0019";"0,0008";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"36";"1.40";"Haps";"143";"1000";"5442,240";"1149,730";"682261";"6065527";"Arthropoda";"Jaera albifrons";"Ej oplyst";"1";"0,0016";"0,0002";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"36";"1.40";"Haps";"143";"1000";"5442,240";"1149,730";"682261";"6065527";"Arthropoda";"Corophium insidiosum";"Ej oplyst";"1";"0,0021";"0,0002";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
"Guldborgsund";"6253";"Guldborg Sund Bredning";"96250152";"625 Guldborg Sund";"BF Bredningen";"2013-05-21";"0";"Naturstyrelsen";"Naturstyrelsen";"42";"36";"1.40";"Haps";"143";"1000";"5442,240";"1149,730";"682261";"6065527";"Arthropoda";"Gammarus salinus";"Ej oplyst";"2";"0,0079";"0,0008";"";"ElekK";"GODK";"5442,429";"1151,764";"684431";"6065966"
