sourceID,sortID,rep,sampleID,date_packed,weight_packed (mg),rack,row,position,d15N,d13C,N_percentage,C_percentage,runline,runID,date_data,Notes
G41,fin,A,G41A,29-07-2020,0.6,1,F,7,11.04783333,-15.35233333,0.136304236,0.470988368,12,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G41,fin,B,G41B,29-07-2020,0.52,1,F,8,10.09833333,-15.0218,0.132189284,0.453209493,26,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G41,fin,C,G41C,29-07-2020,0.51,1,F,9,10.30133333,-15.3108,0.125632483,0.433166786,27,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G42,fin,A,G42A,29-07-2020,0.59,1,F,10,10.61283333,-17.41033333,0.119596267,0.409807673,13,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G43,fin,A,G43A,29-07-2020,0.49,1,F,11,10.82283333,-15.38933333,0.084905664,0.292273091,14,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G44,fin,A,G44A,29-07-2020,0.6,1,F,12,11.73683333,-16.80533333,0.115959268,0.401852459,15,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G44,fin,B,G44B,29-07-2020,0.51,1,G,1,11.32933333,-16.4088,0.118548936,0.417907826,28,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G44,fin,C,G44C,29-07-2020,0.54,1,G,2,11.75933333,-16.6938,0.111612999,0.395564332,29,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G45,fin,A,G45A,29-07-2020,0.51,1,G,3,10.28483333,-16.50433333,0.08342624,0.291321711,16,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G46,fin,A,G46A,29-07-2020,0.59,1,G,4,11.86783333,-17.97933333,0.129881606,0.466508776,17,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G46,fin,B,G46B,29-07-2020,0.5,1,G,5,11.93233333,-17.6408,0.119893053,0.422750433,30,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G46,fin,C,G46C,29-07-2020,0.49,1,G,6,12.17433333,-17.6888,0.101226813,0.364678687,31,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G47,fin,A,G47A,29-07-2020,0.46,1,G,7,11.72483333,-18.17633333,0.129806287,0.439662866,18,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G48,fin,A,G48A,29-07-2020,0.48,1,G,8,9.688833333,-13.80133333,0.090992677,0.292297022,19,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G49,fin,A,G49A,29-07-2020,0.55,1,G,9,10.47983333,-15.84833333,0.114406636,0.398038776,20,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G49,fin,B,G49B,29-07-2020,0.56,1,G,10,10.81233333,-15.5688,0.111957179,0.399640957,32,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G49,fin,C,G49C,29-07-2020,0.51,1,G,11,10.57833333,-15.8068,0.103050518,0.364615644,33,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G50,fin,A,G50A,29-07-2020,0.51,1,G,12,10.36183333,-14.88133333,0.094452949,0.306574084,21,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G51,fin,A,G51A,29-07-2020,0.53,1,H,1,11.45083333,-15.58933333,0.159083738,0.546649701,26,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G51,fin,B,G51B,29-07-2020,0.56,1,H,2,11.42533333,-15.3928,0.100784791,0.352446758,34,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G51,fin,C,G51C,29-07-2020,0.5,1,H,3,11.15833333,-15.7678,0.115075442,0.404196116,35,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G52,fin,A,G52A,29-07-2020,0.56,1,H,4,11.56683333,-15.24833333,0.128829052,0.454644479,27,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G53,fin,A,G53A,29-07-2020,0.56,1,H,5,12.08083333,-17.15033333,0.13899262,0.488955569,28,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G53,fin,B,G53B,29-07-2020,0.59,1,H,6,12.04533333,-17.1488,0.1182859,0.419732089,36,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G53,fin,C,G53C,29-07-2020,0.49,1,H,7,12.20133333,-17.0648,0.127411239,0.456206553,37,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G54,fin,A,G54A,29-07-2020,0.54,1,H,8,10.87583333,-18.70133333,0.054210214,0.174409039,29,Nick Moran 2020 0417 201025 set 2,07-11-2020,
G54,fin,B,G54B,29-07-2020,0.52,1,H,9,10.77833333,-18.1878,0.055712195,0.186860249,38,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G54,fin,C,G54C,29-07-2020,0.6,1,H,10,10.98433333,-18.3308,0.058971378,0.196475436,39,Nick Moran 2020 0417 201107 set 3,07-11-2020,
G55,fin,A,G55A,29-07-2020,0.51,1,H,11,11.46683333,-14.52133333,0.111931672,0.362304361,30,Nick Moran 2020 0417 201025 set 2,07-11-2020,
