"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","propmoving.exp","dist","timefrozen_tot","timefrozen_tot.ln","timefrozen_ave","centretime","centretime.lnplus1","Notes"
"53",2060,"G04",15.4,52,1.42377440404089,1,"m","14-07-2020","10:40","ACT",3,2,"H","ACT3_2H","E",34.72232819,52.92420578,134.7354431,0.622300029,1.86320855101207,45930.3125,99.5,4.60015764416455,10,13.6,2.68102152871429,""
"54",2060,"G04",15.4,52,1.42377440404089,1,"m","30-06-2020","13:34","ACT",1,5,"G","ACT1_5G","E",47.70784378,73.29097748,166.8454437,0.627853632,1.87358485788583,59720.80859,162.3,5.08944647452055,9.5,12,2.56494935746154,""
"55",2065,"G55",11.3,24,1.66332038946647,3,"m","07-07-2020","10:56","ACT",2,2,"E","ACT2_2E","C",28.64924431,61.99375534,100.5987549,0.433742642,1.54302170803178,35838.72266,198.4,5.29028519485077,6.4,110.2,4.71133038181648,""
"56",2065,"G55",11.3,24,1.66332038946647,3,"m","14-07-2020","12:34","ACT",3,4,"C","ACT3_4C","C",25.62870789,47.88957977,94.86397552,0.485676944,1.62527485659708,33017.13672,158.7,5.06701562753236,4.8,140.2,4.95017732505914,""
"57",2065,"G55",11.3,23,1.5940153732387,3,"m","30-06-2020","10:27","ACT",1,2,"E","ACT1_2E","C",40.4336853,80.41731262,108.9354401,0.48516503,1.62444306856428,49684.91797,206.3,5.32933142007721,4.9,54.7,4.01998014693324,""
"58",2070,"G45",11,18,1.35236664162284,3,"f","30-06-2020","09:17","ACT",1,1,"B","ACT1_1B","C",27.43066406,56.53570557,97.45061493,0.428502411,1.53495706659032,36302.03906,399.9,5.99121451585277,9.3,23,3.17805383034795,""
"59",2070,"G45",11,18,1.35236664162284,3,"f","07-07-2020","09:52","ACT",2,1,"C","ACT2_1C","C",3.723870754,37.54680634,22.28316879,0.040587842,1.04142278634511,5668.289551,1167,7.06219163228656,41.7,0.5,0.405465108108164,"heavy skin infections"
"60",2084,"G48",9.8,12,1.27497896284711,3,"f","30-06-2020","09:17","ACT",1,1,"G","ACT1_1G","C",7.048670769,52.91149139,28.56866837,0.086426273,1.09027098234581,10702.05371,639.3,6.46037382777268,8.6,3.7,1.54756250871601,""
"61",2084,"G48",9.8,11,1.16873071594319,3,"f","07-07-2020","09:52","ACT",2,1,"G","ACT2_1G","C",7.177793026,81.7110672,29.01316452,0.066312924,1.06856104324984,9578.140625,1119,7.02019070831193,36.1,14.1,2.71469474382088,"heavy skin infections"
"62",2089,"G31",13.7,39,1.51671124112481,1,"m","30-06-2020","12:27","ACT",1,4,"E","ACT1_4E","D",39.09820557,58.62684631,133.9951782,0.641833425,1.89996112417017,49132.30078,18,2.89037175789616,4.5,32,3.49650756146648,""
