"","PITID","FishID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","emergetime","emergelat","emergelat.bin","endpointtime","endpointlat","endpointlat.bin","endpointspeed","endpointspeed.ln","refugereturntime","refugereturnlat","refugereturnlat.ln","Notes"
"80",2112,"G39",12.9,32,1.49066772131408,1,"m","02-07-2020","13:15","13:25","EXPL",1,5,"D","EXPL1_5D","C","00:01",1,1,"00:28",28,1,27,3.29583686600433,"01:11",70,4.24849524204936,""
"81",2112,"G39",12.9,32,1.49066772131408,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"E","EXPL2_3E","C","02:34",154,0,"02:58",178,1,24,3.17805383034795,"03:10",36,3.58351893845611,""
"82",2101,"G40",12.8,28,1.33514404296875,1,"m","02-07-2020","14:20","14:30","EXPL",1,6,"D","EXPL1_6D","C","00:02",2,1,"00:25",25,1,23,3.13549421592915,"02:24",142,4.95582705760126,""
"83",2101,"G40",12.8,27,1.28746032714844,1,"m","09-07-2020","11:48","11:58","EXPL",2,4,"E","EXPL2_4E","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"84",2101,"G40",12.8,28,1.33514404296875,1,"m","16-07-2020","14:29","14:39","EXPL",3,5,"D","EXPL3_5D","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,"lethargic with wound"
"85",2133,"G41",14.2,32,1.11759627393402,1,"m","02-07-2020","12:13","12:23","EXPL",1,4,"E","EXPL1_4E","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"86",2133,"G41",14.2,31,1.08267139037358,1,"m","09-07-2020","11:48","11:58","EXPL",2,4,"A","EXPL2_4A","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,"new looking wound on side"
"87",2014,"G42",15.5,45,1.20841864992783,2,"m","02-07-2020","13:15","13:25","EXPL",1,5,"C","EXPL1_5C","C",NA,2700,0,NA,2700,0,NA,NA,NA,NA,NA,""
"88",2009,"G44",10.5,14,1.20937263794407,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"C","EXPL1_4C","C","01:55",115,0,NA,2700,0,NA,NA,"02:49",54,3.98898404656427,""
"89",2009,"G44",10.5,13,1.12298887809092,2,"m","09-07-2020","11:48","11:58","EXPL",2,4,"B","EXPL2_4B","C","01:57",117,0,"02:40",160,1,43,3.76120011569356,"03:14",77,4.34380542185368,""
