"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centretime50","centretime75","centretime100","Notes"
"54","G04",2060,15.4,52,1.42377440404089,1,"m","07-07-2020","11:51","ACT","trial 2","3","E","ACT2_3E","E",37.396,48.571,127.106,0.75,47422,25,152,1.87557935342718,76.3666666666667,22.7333333333333,10.6,""
"55","G04",2060,15.4,52,1.42377440404089,1,"m","14-07-2020","10:40","ACT","trial 3","2","H","ACT3_2H","E",34.676,44.594,136.156,0.762,46249,16,141,1.99784325808078,131.966666666667,46.7,9.86666666666667,""
"56","G04",2060,15.4,52,1.42377440404089,1,"m","30-06-2020","13:34","ACT","trial 1","5","G","ACT1_5G","E",46.163,60.49,161.458,0.752,57769,14,224,1.80127559583753,132.333333333333,24.2333333333333,7.86666666666667,""
"57","G55",2065,11.3,24,1.66332038946647,3,"m","07-07-2020","10:56","ACT","trial 2","2","E","ACT2_2E","C",27.278,48.489,95.296,0.544,34125,48,309,1.95822222222222,231.666666666667,137.366666666667,75.4666666666667,""
"58","G55",2065,11.3,24,1.66332038946647,3,"m","14-07-2020","12:34","ACT","trial 3","4","C","ACT3_4C","C",24.928,37.88,91.755,0.628,32114,48,240,2.2725509214355,320.466666666667,159.9,95.1,""
"59","G55",2065,11.3,23,1.5940153732387,3,"m","30-06-2020","10:27","ACT","trial 1","2","E","ACT1_2E","C",38.991,67.07,104.953,0.57,47894,43,226,1.96791666666667,205.933333333333,95.7,36.1666666666667,""
"60","G45",2070,11,18,1.35236664162284,3,"f","30-06-2020","09:17","ACT","trial 1","1","B","ACT1_1B","C",24.925,44.991,89.595,0.504,32740,46,456,1.84085303495157,135.3,29.3,11.8666666666667,""
"61","G45",2070,11,18,1.35236664162284,3,"f","07-07-2020","09:52","ACT","trial 2","1","C","ACT2_1C","C",3.597,15.083,21.522,0.145,5476,8,1179,1.11344444444444,29.9,1.03333333333333,0.333333333333333,"heavy skin infections"
"62","G48",2084,9.8,12,1.27497896284711,3,"f","30-06-2020","09:17","ACT","trial 1","1","G","ACT1_1G","C",5.679,36.981,20.485,0.121,8170,29,1097,1.28025,14.1666666666667,5.2,3,""
"63","G48",2084,9.8,11,1.16873071594319,3,"f","07-07-2020","09:52","ACT","trial 2","1","G","ACT2_1G","C",6.911,37.119,27.914,0.158,9217,28,1124,1.73083333333333,47.7,15.2666666666667,3.43333333333333,"heavy skin infections"
"64","G31",2089,13.7,39,1.51671124112481,1,"m","30-06-2020","12:27","ACT","trial 1","4","E","ACT1_4E","D",37.212,48.59,126.856,0.754,46727,11,46,1.79967172981695,96.4,42.0666666666667,27.6333333333333,""
"65","G31",2089,13.7,39,1.51671124112481,1,"m","07-07-2020","14:50","ACT","trial 2","6","A","ACT2_6A","D",40.597,48.449,154.977,0.829,50835,10,40,1.68487911106148,106.466666666667,29.4,18.4333333333333,""
"66","G12",2099,13.4,32,1.32995082506824,2,"m","14-07-2020","10:40","ACT","trial 3","2","E","ACT3_2E","E",19.616,44.409,71.557,0.415,25179,36,690,2.03627777777778,422.433333333333,34.2,13.3666666666667,""
"67","G12",2099,13.4,30,1.24682889850148,2,"m","30-06-2020","13:34","ACT","trial 1","5","B","ACT1_5B","E",35.311,61.452,120.951,0.56,44146,25,391,1.66486111111111,86.8,29.3,15.8666666666667,""
"68","G12",2099,13.4,30,1.24682889850148,2,"m","07-07-2020","12:50","ACT","trial 2","4","D","ACT2_4D","E",25.163,42.504,97.607,0.566,32132,50,370,1.76150651100135,106.966666666667,51.1666666666667,21.6666666666667,""
"69","G40",2101,12.8,28,1.33514404296875,1,"m","30-06-2020","09:17","ACT","trial 1","1","E","ACT1_1E","C",31.545,44.586,111.336,0.686,40335,15,65,1.85647795548786,135.933333333333,50.1666666666667,29.5333333333333,""
