"","mergeID","PITID","FishID","TL","InfectionScore","Sex","TrialDay","TrialRound","TankID","Weight","avespeed_tot","avespeed_mob","aveacceler","dist","timefrozen_tot.ln","propmoving.exp","centretime.lnplus1","emergelat.bin.B","endpointlat.bin.B","PC1","PC2"
"73","G35_1",2021,"G35",15.6,1,"m","1","4","D",46,36.6524353,69.55497742,123.1023712,46426.86719,5.57139328661046,1.64599703184515,4.748404354074,0,0,-0.0764248600121516,-0.816246243099333
"74","G35_2",2021,"G35",15.6,1,"m","2","5","D",47,13.25773811,39.05145645,54.96721268,17616.68945,6.51323011091231,1.31591357203368,3.83729945923221,0,0,0.787239720273783,-0.0850365357808995
"75","G35_3",2021,"G35",15.6,1,"m","3","2","D",48,21.38794136,45.79494476,86.37666321,29839.3457,6.25094002766958,1.50280582378556,2.40694510831829,0,0,0.522734571617348,-0.269588007306012
"76","G36_1",2126,"G36",15.6,1,"m","1","4","D",52,43.80353546,56.24193573,169.1217499,56754.04297,2.79728133483015,2.13334214893018,3.31418600467253,1,1,-0.715287249607328,0.292039757878347
"77","G36_2",2126,"G36",15.6,1,"m","2","5","D",52,27.21306419,45.6930542,104.623848,34807.34766,5.49347288132208,1.75121561687456,3.28840188751681,1,1,0.0507891160947803,0.754500451703907
"78","G36_3",2126,"G36",15.6,1,"m","3","1","D",53,34.38957596,49.86284256,124.5514679,43960.74609,4.6931810633108,1.92995144197145,3.5918177412708,1,1,-0.246485479459691,0.571633057684524
"79","G38_1",1313,"G38",11.7,2,"m","1","2","C",24,42.5879364,59.64762878,136.3898315,53363.49219,3.4904285153901,1.99033766450889,3.58073729549423,1,1,-0.549080441408294,0.317809737628134
"80","G38_2",1313,"G38",11.7,2,"m","2","2","C",25,41.11387253,55.00705338,160.6928406,52893.10547,3.8877303128591,2.06184858342526,3.80888224650863,1,1,-0.562911198844464,0.372799566039284
"81","G38_3",1313,"G38",11.7,2,"m","3","4","C",25,36.64358521,49.44364548,144.661026,47294.11328,3.76584049525006,2.0471552940141,3.58073729549423,1,1,-0.42762838437603,0.500457566050365
"82","G39_1",2112,"G39",12.9,1,"m","1","1","C",32,45.77867508,65.9125824,156.6507263,58592.18359,3.75419892023458,1.95579941346342,3.93963817246112,1,1,-0.665030267171879,0.191185468964936
"83","G39_2",2112,"G39",12.9,1,"m","2","2","C",32,36.86471176,60.9798851,123.1084137,46989.29297,4.01638302075239,1.77499326756667,3.72086249996699,0,1,-0.244774358928958,-0.169727080730394
"84","G39_3",2112,"G39",12.9,1,"m","3","5","C",33,21.20429993,54.10448837,73.09890747,27153.66992,6.13945342482143,1.42561910782348,4.05525717351405,NA,NA,NA,NA
"85","G40_1",2101,"G40",12.8,1,"m","1","1","C",28,32.94677734,55.33686066,116.3058548,42090.96094,3.82209829790016,1.75168841959256,3.62700405039585,1,1,-0.24846949436488,0.503632110883253
"86","G40_2",2101,"G40",12.8,1,"m","2","2","C",27,12.09745121,50.99975967,48.68787003,15800.65234,6.58975144664397,1.22014114905546,4.39197696552705,0,0,0.767203159943694,-0.218337945958211
"87","G40_3",2101,"G40",12.8,1,"m","3","4","C",28,2.308203459,11.62896729,12.74443436,4267.463379,7.08732304757947,1.00403634920337,0,0,0,1.46621592752486,0.510674565316882
"88","G41_1",2133,"G41",14.2,1,"m","1","2","C",32,10.85033894,54.24602127,39.13879013,14169.86816,6.719858207855,1.18608487014193,2.19722457733622,0,0,0.884305866024025,-0.184372385519315
"89","G41_2",2133,"G41",14.2,1,"m","2","1","C",31,21.51032829,46.391716,89.02384949,28153.36914,5.7362496647937,1.52932273876194,4.94662996412034,0,0,0.388047773071412,-0.346273995982729
"90","G42_1",2014,"G42",15.5,2,"m","1","1","C",45,36.36778641,56.99541855,139.0204163,46802.82813,4.84733174313806,1.83715316399484,4.24992279404054,0,0,-0.134198904488443,-0.696059032584998
"91","G44_1",2009,"G44",10.5,2,"m","1","2","C",14,28.64929962,59.90959167,94.57930756,37427.84375,5.32398511329661,1.56530009405569,3.91402100809082,0,0,0.187214617264068,-0.585164112006435
"92","G44_2",2009,"G44",10.5,2,"m","2","1","C",13,21.93288612,59.6257019,84.38700104,27722.32813,6.30536246169066,1.40365785796774,4.22537282462851,0,1,0.33305239031379,0.116573827956373
"93","G44_3",2009,"G44",10.5,2,"m","3","4","C",13,15.7500515,47.88713455,63.73259354,20585.12891,6.30060229158905,1.33196557075153,4.59814557105113,0,0,0.635004939453075,-0.249311881999304
"94","G45_1",2070,"G45",11,3,"f","1","1","C",18,27.43066406,56.53570557,97.45061493,36302.03906,5.99121451585277,1.53495706659032,3.17805383034795,0,0,0.29974329132652,-0.494675293895686
"95","G45_2",2070,"G45",11,3,"f","2","1","C",18,3.723870754,37.54680634,22.28316879,5668.289551,7.06219163228656,1.04142278634511,0.405465108108164,NA,NA,NA,NA
"96","G46_1",2024,"G46",16.3,1,"m","1","2","C",50,40.0824852,65.10315704,126.4617767,55874.38672,5.31811999384422,1.80386256633996,4.83469334426634,0,0,-0.208471660440754,-0.839270858086948
"97","G46_2",2024,"G46",16.3,1,"m","2","1","C",50,34.06825638,54.89578247,120.1858139,43224.83594,4.65681341913993,1.78938777462591,4.54754107315146,0,0,-0.0532133478165243,-0.641009265533267
"98","G46_3",2024,"G46",16.3,1,"m","3","4","C",52,32.64383316,54.41271591,123.7369919,47795.28516,5.26682669945667,1.76734674179099,3.98898404656427,0,0,-0.00334420827127571,-0.615181589153826
"99","G48_1",2084,"G48",9.8,3,"f","1","1","C",12,7.048670769,52.91149139,28.56866837,10702.05371,6.46037382777268,1.09027098234581,1.54756250871601,0,0,0.995959884193155,-0.116434414385112
"100","G48_2",2084,"G48",9.8,3,"f","2","1","C",11,7.177793026,81.7110672,29.01316452,9578.140625,7.02019070831193,1.06856104324984,2.71469474382088,NA,NA,NA,NA
"101","G49_1",2040,"G49",13.2,2,"m","1","2","C",35,54.8841629,70.04046631,147.2184906,69119.28125,3.50254987592244,2.09166350124586,4.23988686751276,1,1,-0.866361290585185,0.033852474586429
