"","X","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln","Weight"
"57",73,2116,"G27",13.4,1,"m","16-07-2020","13:25","13:35","EXPL","3","4","E","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_4E",0,0,0,0,NA,NA,27
"58",68,2110,"G28",14.9,1,"m","02-07-2020","09:58","10:08","EXPL","1","2","A","D","00:22",22,"00:37",37,15,"01:13",51,"","EXPL1_2A",1,1,1,1,2.70805020110221,3.93182563272433,43
"59",67,2110,"G28",14.9,1,"m","09-07-2020","15:00","15:10","EXPL","2","7","B","D","00:07",7,"01:35",95,88,"00:26",19,"","EXPL2_7B",1,1,1,1,4.47733681447821,2.94443897916644,44
"60",69,2110,"G28",14.9,1,"m","16-07-2020","14:29","14:39","EXPL","3","5","C","D","00:02",2,NA,2700,NA,"00:38",36,"","EXPL3_5C",1,1,0,0,NA,3.58351893845611,45
"61",94,2156,"G29",16.7,1,"m","02-07-2020","16:25","16:35","EXPL","1","8","E","E","00:01",1,"00:13",13,12,"00:56",55,"","EXPL1_8E",1,1,1,1,2.484906649788,4.00733318523247,60
"62",93,2156,"G29",16.7,1,"m","09-07-2020","10:43","10:53","EXPL","2","3","B","E","00:02",2,"00:07",7,5,"00:46",44,"","EXPL2_3B",1,1,1,1,1.6094379124341,3.78418963391826,61
"63",95,2156,"G29",16.7,1,"m","16-07-2020","12:20","12:30","EXPL","3","3","B","E","00:06",6,"00:41",41,35,"00:52",46,"","EXPL3_3B",1,1,1,1,3.55534806148941,3.8286413964891,64
"64",39,2034,"G30",13,2,"m","02-07-2020","09:58","10:08","EXPL","1","2","E","D","00:01",1,"00:23",23,22,"00:53",52,"","EXPL1_2E",1,1,1,1,3.09104245335832,3.95124371858143,27
"65",40,2034,"G30",13,2,"m","09-07-2020","13:56","14:06","EXPL","2","6","C","D","00:07",7,"01:16",76,69,"02:27",140,"","EXPL2_6C",1,1,1,1,4.23410650459726,4.9416424226093,26
"66",60,2089,"G31",13.7,1,"m","02-07-2020","08:42","08:52","EXPL","1","1","D","D",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_1D",0,0,0,0,NA,NA,39
