"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G15.P04",0.058,0.111,0,0,0.002,0.013,0.063,0.263,0.396,"5.8% [0%, 39.6%]"
"p.G16.P04",0.017,0.037,0,0,0,0.003,0.014,0.085,0.126,"1.7% [0%, 12.6%]"
"p.G17.P04",0.043,0.063,0,0,0.002,0.014,0.058,0.183,0.231,"4.3% [0%, 23.1%]"
"p.G18.P04",0.055,0.081,0,0,0.002,0.015,0.079,0.234,0.283,"5.5% [0%, 28.3%]"
"p.G19.P04",0.043,0.081,0,0,0.001,0.009,0.042,0.217,0.315,"4.3% [0%, 31.5%]"
"p.G20.P04",0.025,0.045,0,0,0.001,0.005,0.027,0.115,0.157,"2.5% [0%, 15.7%]"
"p.G21.P04",0.672,0.255,0.003,0.013,0.584,0.729,0.845,0.972,0.987,"67.2% [0.3%, 98.7%]"
"p.G22.P04",0.706,0.225,0.004,0.034,0.637,0.748,0.853,0.962,0.983,"70.6% [0.4%, 98.3%]"
"p.G23.P04",0.44,0.218,0.001,0.005,0.339,0.48,0.591,0.741,0.794,"44% [0.1%, 79.4%]"
"p.G24.P04",0.046,0.074,0,0,0.002,0.013,0.057,0.207,0.275,"4.6% [0%, 27.5%]"
"p.G25.P04",0.028,0.045,0,0,0.002,0.009,0.033,0.121,0.156,"2.8% [0%, 15.6%]"
"p.G26.P04",0.017,0.031,0,0,0.001,0.005,0.019,0.076,0.107,"1.7% [0%, 10.7%]"
"p.G27.P04",0.052,0.107,0,0,0.002,0.01,0.048,0.26,0.429,"5.2% [0%, 42.9%]"
"p.G28.P04",0.063,0.091,0,0,0.003,0.022,0.085,0.276,0.324,"6.3% [0%, 32.4%]"
"p.G29.P04",0.15,0.167,0,0,0.01,0.08,0.254,0.481,0.577,"15% [0%, 57.7%]"
"p.G30.P04",0.008,0.017,0,0,0,0.002,0.008,0.039,0.057,"0.8% [0%, 5.7%]"
"p.G31.P04",0.087,0.124,0,0,0.004,0.029,0.127,0.338,0.412,"8.7% [0%, 41.2%]"
"p.G32.P04",0.041,0.059,0,0,0.003,0.015,0.053,0.172,0.211,"4.1% [0%, 21.1%]"
"p.G33.P04",0.115,0.129,0,0,0.007,0.058,0.206,0.37,0.411,"11.5% [0%, 41.1%]"
"p.G35.P04",0.074,0.115,0,0,0.003,0.023,0.099,0.297,0.4,"7.4% [0%, 40%]"
"p.G36.P04",0.078,0.122,0,0,0.004,0.023,0.099,0.348,0.482,"7.8% [0%, 48.2%]"
"p.G37.P04",0.037,0.064,0,0,0.001,0.009,0.043,0.179,0.235,"3.7% [0%, 23.5%]"
"p.G38.P04",0.037,0.057,0,0,0.001,0.01,0.047,0.169,0.205,"3.7% [0%, 20.5%]"
"p.G39.P04",0.039,0.067,0,0,0.001,0.008,0.047,0.191,0.246,"3.9% [0%, 24.6%]"
"p.G40.P04",0.022,0.039,0,0,0.001,0.005,0.024,0.105,0.142,"2.2% [0%, 14.2%]"
