"FishID","PITID","TL","ConditionFactor","CondManual","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centrescore2","centretime50","centretime75","centretime100"
"G02",2182,14.2,1.32714557529665,1.65936238857323,"m","07/07/2020","11:51","ACT",2,3,"G","ACT2_3G","E",27.498,40.297,103.105,0.644,36984,42,268,2.25137032976801,4.43481304257652,346,57.7666666666667,35
"G02",2182,14.2,1.32714557529665,1.65936238857323,"m","30/06/2020","14:40","ACT",1,6,"A","ACT1_6A","E",36.224,46.147,125.359,0.771,46125,16,70,1.9606239460371,3.75002986228218,210.966666666667,110.3,64.4333333333333
"G02",2182,14.2,1.32714557529665,1.65936238857323,"m","14/07/2020","11:36","ACT",3,3,"F","ACT3_3F","E",21.129,35.924,90.538,0.553,29055,60,439,2.25090442956844,4.4642073778664,270.666666666667,91.1666666666667,56.1333333333333
"G20",2213,13.8,1.14152123686109,1.42384204961131,"m","30/06/2020","11:28","ACT",1,3,"A","ACT1_3A","D",13.864,38.889,55.085,0.329,18131,30,781,2.01105555555556,3.79581423611111,233.666666666667,32.5333333333333,12.0333333333333
"G20",2213,13.8,1.14152123686109,1.42384204961131,"m","07/07/2020","13:45","ACT",2,5,"C","ACT2_5C","D",2.323,41.093,10.322,0.035,3277,14,1170,2.05047222222222,3.88423611111111,414.233333333333,10.7333333333333,5.33333333333333
"G18",2216,13.3,1.06263737244632,1.32133638448013,"m","07/07/2020","14:50","ACT",2,6,"C","ACT2_6C","D",34.348,48.935,137.506,0.68,43934,42,245,2.22271053908279,4.35689799092492,354.1,87.2,32.3
"G18",2216,13.3,1.06263737244632,1.32133638448013,"m","14/07/2020","09:42","ACT",3,1,"C","ACT3_1C","D",31.245,50.167,109.679,0.595,39553,57,389,2.22144488863507,4.32659194745859,360.8,63.9666666666667,14.8
"G18",2216,13.3,1.06263737244632,1.32133638448013,"m","30/06/2020","11:28","ACT",1,3,"B","ACT1_3B","D",38.555,53.544,133.003,0.716,48852,25,105,2.04454151158141,3.89870881909625,260.1,58.5,22.3333333333333
"G10",2217,13.6,1.23238092814981,1.5352847808206,"m","07/07/2020","12:50","ACT",2,4,"A","ACT2_4A","E",44.636,55.151,154.293,0.796,55733,19,149,2.22258294176278,4.4841716502919,331.566666666667,183.166666666667,114.766666666667
"G10",2217,13.6,1.23238092814981,1.5352847808206,"m","30/06/2020","14:40","ACT",1,6,"E","ACT1_6E","E",46.037,54.311,164.49,0.84,57602,8,32,2.268826497895,4.58054060835866,343.1,175.833333333333,104.533333333333
"G10",2217,13.6,1.23238092814981,1.5352847808206,"m","14/07/2020","10:40","ACT",3,2,"F","ACT3_2F","E",43.33,54.781,139.866,0.763,54219,30,179,2.02451706520753,3.88696189425315,241.266666666667,79.9666666666667,46.0333333333333
"G07",2220,14.3,1.16270838555547,1.45462182368192,"m","07/07/2020","12:50","ACT",2,4,"E","ACT2_4E","E",32.341,45.026,120.149,0.7,41652,32,207,1.98908713460136,3.76497187622735,203.033333333333,59.6333333333333,27.7
"G07",2220,14.3,1.16270838555547,1.45462182368192,"m","14/07/2020","11:36","ACT",3,3,"E","ACT3_3E","E",25.572,40.552,94.314,0.609,32908,50,392,1.85849345160304,3.42410428774018,98.7666666666667,25.2333333333333,18.4333333333333
"G07",2220,14.3,1.16270838555547,1.45462182368192,"m","30/06/2020","13:34","ACT",1,5,"D","ACT1_5D","E",34.419,46.205,136.435,0.73,44961,21,97,1.86485583880663,3.44588563119225,165.333333333333,38.8666666666667,22.3
