"","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","TankID","PITID","FishID","Treatment","TL","SL","Sex","Weight","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","timefrozen_tot","timefrozen_ave","centretime","Notes","UniqueID","avespeed_tot.sqrt","aveacceler.sqrt","dist.sqrt","centretime.lnplus1"
"57","12-11-2020","10:45","ACT",5,2,"A","E_2",1419,"K36","pit",12.5,10.6,"F",30,30.63442993,52.19715118,110.0867081,0.559343278,39252.41797,288.2,8,94.8,"","ACT5_2A",5.53483784134639,10.4922213139068,198.122229873379,4.56226268497681
"58","12-11-2020","10:45","ACT",5,2,"B","E_2",1371,"K31","clip",13.7,11.8,"F",40,0.790856957,10.47393513,6.448475838,0.000111123,1183.026489,1200,1200,0,"","ACT5_2B",0.88930138704491,2.53938493301035,34.3951521147966,0
"59","12-11-2020","10:45","ACT",5,2,"C","E_2",1421,"K32","pit",14.5,12.3,"M",55,25.30488586,61.33789444,79.52295685,0.390146762,31754.45703,622.6,13.2,45.5,"","ACT5_2C",5.03039619314423,8.9175645133635,178.197803100936,3.83945231259331
"60","12-11-2020","10:45","ACT",5,2,"D","E_2",NA,"K34","cont",13.2,10.9,"F",32,13.19079781,63.11124802,45.80138779,0.189104348,16398.08008,867.1,34.7,12.8,"","ACT5_2D",3.63191379440647,6.7676722578742,128.054988501034,2.62466859216316
"61","12-11-2020","10:45","ACT",5,2,"E","E_3",1308,"K41","pit",16.2,13.8,"M",62,2.95644331,49.78161621,16.28445816,0.023224803,4067.811523,1164.1,89.5,24.6,"","ACT5_2E",1.71943110068418,4.03540061951722,63.7793973239008,3.24259235148552
"62","12-11-2020","10:45","ACT",5,2,"F","E_3",1270,"K38","clip",18.2,15.5,"F",84,14.88183594,59.05316162,49.00764084,0.224497169,18825.82617,847.8,23.5,0.3,"","ACT5_2F",3.85769826969399,7.00054575301098,137.20723803794,0.262364264467491
"63","12-11-2020","10:45","ACT",5,2,"G","E_3",1272,"K42","clip",14.2,12.4,"F",52,24.43352318,62.41471481,78.05513763,0.370415688,30029.44727,546.4,7.4,218.4,"","ACT5_2G",4.94302773409173,8.83488186848019,173.290066853239,5.39089654784113
"64","12-11-2020","10:45","ACT",5,2,"H","E_3",1322,"K37","pit",13.5,11.6,"M",45,11.86567211,51.37625504,45.25745773,0.201494604,15041.94629,835.8,15.8,15.2,"","ACT5_2H",3.44465848960387,6.7273663294041,122.645612599881,2.78501124223834
"65","12-11-2020","11:55","ACT",5,3,"A","E_3",NA,"K39","cont",14.2,12.3,"F",48,23.81016159,59.88224411,72.24570465,0.375013888,29410.16992,598.8,13,52.2,"","ACT5_3A",4.87956571735641,8.49974732859748,171.493935519598,3.9740583963476
"66","12-11-2020","11:55","ACT",5,3,"B","E_3",NA,"K40","cont",13.6,11.5,"M",42,4.914242744,47.78880692,22.00802994,0.071896881,6472.392578,1080,49.1,7.1,"","ACT5_3B",2.21680913567226,4.69127167620892,80.4511813337753,2.09186406167839
"67","12-11-2020","11:55","ACT",5,3,"C","E_4",1408,"K46","pit",12.5,10.3,"M",26,2.834020853,67.9538269,11.83631706,0.026114013,3825.456055,1152.1,288,4.9,"","ACT5_3C",1.68345503444553,3.44039489884519,61.8502712605208,1.77495235091167
"68","12-11-2020","11:55","ACT",5,3,"D","E_4",1298,"K44","clip",15.2,13,"M",59,15.20117188,60.11166,53.63656235,0.232109129,19194.48047,858.5,17.2,124,"","ACT5_3D",3.89886802546585,7.32369867962903,138.544146285579,4.8283137373023
"69","12-11-2020","11:55","ACT",5,3,"E","E_4",1292,"K47","clip",13.5,11.5,"F",42,7.695729256,55.86811066,28.74307251,0.11473497,9696.330078,1026.5,26.3,24.8,"","ACT5_3E",2.77411774371601,5.36125661668979,98.4699450492382,3.25037449192757
"70","12-11-2020","11:55","ACT",5,3,"F","E_4",NA,"K45","cont",14.3,12.2,"M",44,3.998051167,60.92736435,19.61489677,0.044727191,5164.30127,1134,66.7,94.4,"","ACT5_3F",1.99951273239257,4.42887082335893,71.8630730625959,4.55807857845424
"71","12-11-2020","11:55","ACT",5,3,"G","E_4",NA,"K48","cont",16,13.7,"M",73,25.69696045,59.21340942,76.71999359,0.405922085,32042.54102,523.8,7.9,102.6,"","ACT5_3G",5.06921694643265,8.75899501027372,179.004304473384,4.64053732982538
"72","12-11-2020","11:55","ACT",5,3,"H","E_4",1285,"K43","pit",14.5,12.2,"M",50,15.17289448,50.47388077,56.76533508,0.269224346,19336.11133,741.6,11.6,42.4,"","ACT5_3H",3.89523997720294,7.5342773429175,139.054346677837,3.77045944110636
"73","12-11-2020","13:05","ACT",5,4,"A","D_1",1340,"K03","pit",13.8,11.6,"M",39,0.783385694,13.54515171,6.43623209,0.000750083,1154.599243,1199.9,600,0,"","ACT5_4A",0.885090782914386,2.53697301719983,33.9793943883642,0
"74","12-11-2020","13:05","ACT",5,4,"B","D_1",NA,"K06","cont",12.8,10.8,"F",33,18.85624695,53.1163826,75.21666718,0.32736972,24197.83398,683.7,9.2,49.6,"","ACT5_4B",4.34237802937515,8.67275430183514,155.556529853298,3.92395157629342
"75","12-11-2020","13:05","ACT",5,4,"C","D_1",1370,"K05","clip",13.4,11.8,"M",42,15.48285866,39.89515305,58.36306763,0.343389392,19789.98828,585.2,8.2,89.1,"","ACT5_4C",3.93482638244688,7.63957247691257,140.676893198563,4.50092016461429
"76","12-11-2020","13:05","ACT",5,4,"D","D_1",1476,"K02","clip",15.4,13.2,"M",53,13.43506622,51.76929855,54.36004639,0.234220475,17226.98633,809.8,13.7,76.3,"","ACT5_4D",3.66538759478449,7.37292658243658,131.251614580545,4.34769395559338
"77","12-11-2020","13:05","ACT",5,4,"E","D_1",1262,"K04","pit",13.1,10.9,"F",36,23.68896103,53.04399109,83.48484802,0.419588,29623.05078,440.6,10,240.7,"","ACT5_4E",4.86713067730876,9.1370043241754,172.113482272598,5.48769728770944
"78","12-11-2020","13:05","ACT",5,4,"F","D_1",NA,"K01","cont",13.7,11.6,"M",42,11.35986137,58.01644135,38.61444855,0.171324596,14240.27148,881.8,63,0.4,"","ACT5_4F",3.37043934376514,6.21405250621525,119.332608619773,0.336472236621213
"79","12-11-2020","13:05","ACT",5,4,"G","D_2",1351,"K07","pit",12.5,10.7,"M",29,1.696781635,66.64886475,10.20545864,0.013723747,2228.978027,1188.7,237.7,3.6,"new wound + more scale loss, euthanised post trial","ACT5_4G",1.30260570972186,3.19459835347106,47.2120538316223,1.52605630349505
"80","12-11-2020","13:05","ACT",5,4,"H","D_2",NA,"K11","cont",14.4,12.8,"M",59,39.77574158,70.87384033,128.3158569,0.541754663,48968.63281,212.8,4.6,21,"","ACT5_4H",6.30680121614753,11.3276589328952,221.288573609213,3.09104245335832
"81","12-11-2020","14:10","ACT",5,5,"A","D_2",1376,"K10","clip",13.8,11.9,"M",43,32.54637146,67.6911087,108.386322,0.457764924,40419.78125,362.9,5.6,105,"","ACT5_5A",5.704942721886,10.4108751793497,201.046714098987,4.66343909411207
"82","12-11-2020","14:10","ACT",5,5,"B","D_2",1439,"K08","pit",12.6,11,"M",36,15.53084183,65.80336761,56.44910049,0.218496501,19231.05859,813,30.1,111.3,"","ACT5_5B",3.94091890680334,7.51326164125808,138.676092351926,4.7211738617444
