,PITID,FishID,TL,InfectionScore,Sex,Date,TimeLoaded,TrialType,TrialDay,TrialRound,ArenaID,TankID,Weight,avespeed_tot,avespeed_mob,aveacceler,propmoving,dist,timefrozen_tot,timefrozen_ave,centretime,Notes,UniqueID
100,2182,G02,14.2,1,m,14-07-2020,11:36,ACT,3,3,F,E,38,22.48516083,44.55726624,95.28782654,0.455386907,30658.35547,343.8,7.6,65.9,,ACT3_3F
101,2182,G02,14.2,1,m,30-06-2020,14:40,ACT,1,6,A,E,37,38.30709839,55.19351578,134.6135864,0.667976618,48767.42578,18.7,4.7,82.3,,ACT1_6A
102,2182,G02,14.2,1,m,07-07-2020,11:51,ACT,2,3,G,E,39,28.46555901,48.07709122,106.6117859,0.539471328,38314.12891,208.2,6.7,44.7,,ACT2_3G
103,2191,G08,11.9,1,m,30-06-2020,13:34,ACT,1,5,C,E,24,3.036140203,14.87127876,18.75889397,0.040893432,5583.802734,859.9,13.9,0,Possible right fin damage EXCLUDED,ACT1_5C
104,2213,G20,13.8,2,m,07-07-2020,13:45,ACT,2,5,C,D,30,2.634490252,53.66956711,12.34773922,0.027308591,3749.85376,1160.1,96.7,5.8,,ACT2_5C
105,2213,G20,13.8,2,m,30-06-2020,11:28,ACT,1,3,A,D,31,14.14190674,50.82613373,56.36860275,0.244360492,18499.81055,744.2,23.3,12.8,,ACT1_3A
106,2216,G18,13.3,1,m,14-07-2020,09:42,ACT,3,1,C,D,27,33.80050659,64.06497192,117.9078598,0.487418771,42766.59375,299,6.6,42,,ACT3_1C
107,2216,G18,13.3,1,m,30-06-2020,11:28,ACT,1,3,B,D,26,42.5052948,64.97161865,149.891861,0.61008954,53995.90234,70.8,4.2,33.8,,ACT1_3B
108,2216,G18,13.3,1,m,07-07-2020,14:50,ACT,2,6,C,D,26,36.47373199,59.73711777,147.6784363,0.576496661,46678.23047,190.1,5.4,44.2,,ACT2_6C
109,2217,G10,13.6,2,m,30-06-2020,14:40,ACT,1,6,E,E,32,47.73799515,62.24736023,170.9520569,0.748515189,59690.48047,13.4,4.5,135.7,,ACT1_6E
110,2217,G10,13.6,2,m,07-07-2020,12:50,ACT,2,4,A,E,32,46.47907257,63.44868851,166.0714722,0.71306175,58011.85938,108,8.3,153.9,,ACT2_4A
111,2217,G10,13.6,2,m,14-07-2020,10:40,ACT,3,2,F,E,32,45.39306641,64.00636292,148.194931,0.67295897,56828.22656,117.8,5.4,56.5,,ACT3_2F
112,2220,G07,14.3,1,m,14-07-2020,11:36,ACT,3,3,E,E,34,27.27675247,51.57026291,101.5214996,0.494577318,34994.01953,312.9,7.6,22,,ACT3_3E
113,2220,G07,14.3,1,m,07-07-2020,12:50,ACT,2,4,E,E,36,34.46004486,55.12825394,131.2836914,0.597037375,44280.88672,153.5,5.5,42.1,,ACT2_4E
114,2220,G07,14.3,1,m,30-06-2020,13:34,ACT,1,5,D,E,35,35.05659103,55.09522629,137.5100403,0.607826769,45726.67578,47.4,4.7,24.5,,ACT1_5D
115,2228,G24,15.5,1,m,14-07-2020,09:42,ACT,3,1,B,D,51,24.03099823,54.25101852,90.10153961,0.385199636,32713.41992,484.1,11,253.9,,ACT3_1B
116,2228,G24,15.5,1,m,07-07-2020,14:50,ACT,2,6,E,D,48,29.34024429,54.95696259,122.3347092,0.503341913,38267.62891,206.7,12.7,36,,ACT2_6E
117,2228,G24,15.5,1,m,30-06-2020,12:27,ACT,1,4,G,D,46,19.96536446,46.75128937,80.5796814,0.384250998,26236.44141,342.4,6.7,115.1,,ACT1_4G
118,2233,G11,13.5,2,m,07-07-2020,12:50,ACT,2,4,C,E,37,3.328862906,50.65876007,14.42383194,0.032503612,5028.974121,1134.1,226.8,8.1,,ACT2_4C
119,2233,G11,13.5,2,m,30-06-2020,13:34,ACT,1,5,H,E,37,39.07988358,59.86493683,147.0727997,0.624978542,50045.89844,78.8,7.2,41.6,,ACT1_5H
120,2233,G11,13.5,2,m,14-07-2020,11:36,ACT,3,3,A,E,36,9.287032127,45.91150284,37.36274719,0.159795538,12601.42676,903.3,29.1,66.4,,ACT3_3A
