"","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","refugereturntime","refugereturnlat","Notes","UniqueID"
"73",2110,"G28",14.9,1,"m","16-07-2020","14:29","14:39","EXPL",3,5,"C","D","00:02",2,NA,NA,"00:38",36,"","EXPL3_5C"
"74",2110,"G28",14.9,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"A","D","00:22",22,"00:37",15,"01:13",51,"","EXPL1_2A"
"75",2112,"G39",12.9,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"E","C","02:34",154,"02:58",24,"03:10",36,"","EXPL2_3E"
"76",2112,"G39",12.9,1,"m","02-07-2020","13:15","13:25","EXPL",1,5,"D","C","00:01",1,"00:28",27,"01:11",70,"","EXPL1_5D"
"77",2116,"G27",13.4,1,"m","02-07-2020","08:42","08:52","EXPL",1,1,"C","D","00:08",8,"00:24",16,"03:27",199,"","EXPL1_1C"
"78",2116,"G27",13.4,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"E","D",NA,2700,NA,NA,NA,NA,"","EXPL3_4E"
"79",2116,"G27",13.4,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"E","D","00:24",24,"00:40",16,"01:01",37,"","EXPL2_7E"
"80",2119,"G34",15.4,2,"f","09-07-2020","16:02","16:12","EXPL",2,8,"B","D","00:49",49,"02:17",88,"00:59",10,"","EXPL2_8B"
"81",2119,"G34",15.4,2,"f","02-07-2020","09:58","10:08","EXPL",1,2,"C","D","00:13",13,"00:38",25,"01:17",64,"","EXPL1_2C"
"82",2119,"G34",15.4,2,"f","16-07-2020","12:20","12:30","EXPL",3,3,"C","D","28:39",1719,NA,NA,"29:13",34,"","EXPL3_3C"
"83",2122,"G25",13.7,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"B","D","00:21",21,"00:43",22,"01:27",66,"","EXPL1_2B"
"84",2122,"G25",13.7,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"A","D","00:04",4,"00:16",12,"00:40",36,"","EXPL2_6A"
"85",2122,"G25",13.7,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"A","D","00:17",17,"00:39",22,"01:09",52,"","EXPL3_4A"
"86",2126,"G36",15.6,1,"m","09-07-2020","15:00","15:10","EXPL",2,7,"A","D","00:04",4,"00:10",6,"00:58",54,"","EXPL2_7A"
"87",2126,"G36",15.6,1,"m","02-07-2020","12:13","12:23","EXPL",1,4,"A","D","00:19",19,"00:32",13,"00:58",39,"","EXPL1_4A"
"88",2126,"G36",15.6,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"D","D","00:01",1,"00:06",5,"00:35",34,"","EXPL3_3D"
"89",2132,"G16",8,2,"j",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2133,"G41",14.2,1,"m","02-07-2020","12:13","12:23","EXPL",1,4,"E","C",NA,2700,NA,NA,NA,NA,"","EXPL1_4E"
"91",2133,"G41",14.2,1,"m","09-07-2020","11:48","11:58","EXPL",2,4,"A","C",NA,2700,NA,NA,NA,NA,"new looking wound on side","EXPL2_4A"
"92",2147,"G26",13,3,"f","02-07-2020","08:42","08:52","EXPL",1,1,"A","D","00:14",14,"00:45",31,"08:23",489,"","EXPL1_1A"
"93",2147,"G26",13,3,"f","16-07-2020","14:29","14:39","EXPL",3,5,"B","D","02:14",134,"03:41",87,"02:31",17,"","EXPL3_5B"
"94",2147,"G26",13,3,"f","09-07-2020","15:00","15:10","EXPL",2,7,"D","D","04:06",246,"04:48",42,"04:10",4,"","EXPL2_7D"
"95",2153,"G06",13.2,1,"m","16-07-2020","11:15","11:25","EXPL",3,2,"A","E","00:01",1,"00:26",25,"01:21",80,"","EXPL3_2A"
"96",2153,"G06",13.2,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"D","E","00:11",11,"00:21",10,"00:39",28,"","EXPL1_8D"
"97",2153,"G06",13.2,1,"m","09-07-2020","09:38","09:48","EXPL",2,2,"E","E","00:04",4,"00:14",10,"00:29",25,"","EXPL2_2E"
"98",2155,"G32",10.9,2,"m","02-07-2020","11:07","11:17","EXPL",1,3,"A","D",NA,2700,NA,NA,NA,NA,"small wounds","EXPL1_3A"
"99",2156,"G29",16.7,1,"m","09-07-2020","10:43","10:53","EXPL",2,3,"B","E","00:02",2,"00:07",5,"00:46",44,"","EXPL2_3B"
"100",2156,"G29",16.7,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"B","E","00:06",6,"00:41",35,"00:52",46,"","EXPL3_3B"
"101",2156,"G29",16.7,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"E","E","00:01",1,"00:13",12,"00:56",55,"","EXPL1_8E"
"102",2165,"G23",15.8,2,"m","02-07-2020","11:07","11:17","EXPL",1,3,"C","D","00:35",35,NA,NA,"00:54",19,"visible wounds","EXPL1_3C"
"103",2179,"G43",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2182,"G02",14.2,1,"m","02-07-2020","18:30","18:40","EXPL",1,10,"A","E","00:04",4,"00:24",20,"00:53",49,"","EXPL1_10A"
"105",2182,"G02",14.2,1,"m","16-07-2020","10:11","10:21","EXPL",3,1,"A","E","00:04",4,"00:21",17,"02:36",152,"","EXPL3_1A"
"106",2182,"G02",14.2,1,"m","09-07-2020","09:38","09:48","EXPL",2,2,"B","E","00:02",2,"00:16",14,"02:38",156,"","EXPL2_2B"
"107",2191,"G08",11.9,1,"m","02-07-2020","18:30","18:40","EXPL",1,10,"B","E",NA,2700,NA,NA,NA,NA,"potentially injured fin","EXPL1_10B"
"108",2213,"G20",13.8,2,"m","02-07-2020","12:13","12:23","EXPL",1,4,"B","D",NA,2700,NA,NA,NA,NA,"","EXPL1_4B"
"109",2216,"G18",13.3,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"D","D","00:13",13,"00:26",13,"00:36",23,"","EXPL2_6D"
"110",2216,"G18",13.3,1,"m","02-07-2020","09:58","10:08","EXPL",1,2,"D","D","00:05",5,"00:18",13,"02:42",157,"","EXPL1_2D"
"111",2216,"G18",13.3,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"C","D","00:16",16,"03:53",217,"01:42",86,"","EXPL3_4C"
"112",2217,"G10",13.6,2,"m","09-07-2020","10:43","10:53","EXPL",2,3,"A","E","00:01",1,"00:09",8,"02:34",153,"","EXPL2_3A"
"113",2217,"G10",13.6,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"E","E","00:14",14,"00:36",22,"00:56",42,"","EXPL1_9E"
"114",2217,"G10",13.6,2,"m","16-07-2020","10:11","10:21","EXPL",3,1,"B","E","00:13",13,"00:30",17,"03:12",179,"","EXPL3_1B"
"115",2220,"G07",14.3,1,"m","02-07-2020","16:25","16:35","EXPL",1,8,"A","E","01:25",85,"03:49",144,"04:06",161,"","EXPL1_8A"
"116",2220,"G07",14.3,1,"m","16-07-2020","12:20","12:30","EXPL",3,3,"A","E","01:01",61,"01:25",24,"01:53",52,"","EXPL3_3A"
"117",2220,"G07",14.3,1,"m","09-07-2020","08:34","08:44","EXPL",2,1,"C","E","00:22",22,"00:30",8,"02:17",115,"","EXPL2_1C"
"118",2221,"G03",13.5,2,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2228,"G24",15.5,1,"m","02-07-2020","11:07","11:17","EXPL",1,3,"E","D","00:12",12,"00:26",14,"00:41",29,"","EXPL1_3E"
"120",2228,"G24",15.5,1,"m","16-07-2020","13:25","13:35","EXPL",3,4,"B","D","00:04",4,"00:41",37,"00:22",18,"","EXPL3_4B"
"121",2228,"G24",15.5,1,"m","09-07-2020","13:56","14:06","EXPL",2,6,"E","D","00:27",27,"00:37",10,"00:58",31,"","EXPL2_6E"
"122",2233,"G11",13.5,2,"m","02-07-2020","17:27","17:37","EXPL",1,9,"B","E","03:57",237,NA,NA,"05:12",75,"","EXPL1_9B"
"123",2233,"G11",13.5,2,"m","09-07-2020","09:38","09:48","EXPL",2,2,"D","E",NA,2700,NA,NA,NA,NA,"","EXPL2_2D"
"124",2233,"G11",13.5,2,"m","16-07-2020","11:15","11:25","EXPL",3,2,"E","E","05:46",346,NA,NA,"07:21",95,"","EXPL3_2E"
"125",2246,"G33",10.9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
